"uid","fare_amount","pickup_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count"
53879,7,"2013-03-31 15:26:13 UTC",-73.989434,40.741303,-73.992388,40.749542,1
11649,5,"2013-03-20 06:24:39 UTC",-73.994211,40.751031,-73.982704,40.749955,1
34121,6.5,"2013-03-08 12:26:00 UTC",-73.973545,40.779632,-73.961843,40.779617,6
12809,7.5,"2013-03-15 00:08:26 UTC",-73.985175,40.759189,-73.982374,40.741303,1
5011,5.5,"2013-03-21 19:23:44 UTC",-73.984393,40.726288,-73.99417,40.732102,1
48669,7,"2013-03-21 09:22:49 UTC",-73.981731,40.74665,-73.990199,40.737841,1
63613,5.5,"2013-03-02 23:23:22 UTC",-73.968794,40.758888,-73.972308,40.749741,3
53846,5,"2013-03-29 21:31:00 UTC",-73.988615,40.748587,-73.989682,40.756162,1
57702,46,"2013-03-30 16:29:00 UTC",-73.786038,40.641587,-73.981148,40.661597,1
50443,8.5,"2013-03-30 18:44:02 UTC",-73.981238,40.779358,-73.956509,40.780992,1
42664,22,"2013-03-07 13:35:48 UTC",-74.010504,40.709794,-73.985479,40.759811,1
18273,8.5,"2013-03-13 19:43:00 UTC",-73.989917,40.700917,-73.97444,40.687267,2
18731,42,"2013-03-02 19:59:29 UTC",-73.997558,40.721129,-73.803063,40.761969,1
49648,10,"2013-03-09 20:52:00 UTC",-73.984355,40.742387,-73.980192,40.757972,5
21953,9,"2013-03-08 21:01:00 UTC",-73.980552,40.769962,-74.002663,40.754842,5
36915,14.5,"2013-03-29 17:53:00 UTC",-73.998497,40.724525,-73.987705,40.75883,1
9107,10,"2013-03-03 12:58:00 UTC",-73.94752,40.77071,-73.981288,40.7743,1
25310,5,"2013-03-31 15:14:06 UTC",-73.985601,40.721968,-73.996696,40.72547,1
68186,9,"2013-03-02 18:50:00 UTC",-73.991705,40.74508,-73.983235,40.769417,5
30438,15,"2013-03-15 19:19:00 UTC",-73.968187,40.76541,-73.991527,40.760047,1
23279,21,"2013-03-04 16:40:58 UTC",-74.003978,40.738204,-73.949875,40.78029,1
45452,36.83,"2013-03-17 12:11:00 UTC",-73.870802,40.773647,-73.981243,40.7827,1
48784,14.5,"2013-03-06 19:28:00 UTC",-73.947992,40.778763,-73.979845,40.74631,3
62362,30.5,"2013-03-19 01:20:00 UTC",-73.992925,40.747607,-73.936242,40.856332,3
12842,11,"2013-03-27 02:38:00 UTC",-73.999503,40.714335,-74.00345,40.748757,1
26782,39,"2013-03-28 01:13:46 UTC",-74.002125,40.732964,-74.000347,40.719819,1
69544,9,"2013-03-12 13:38:27 UTC",-73.961863,40.779675,-73.97523,40.790997,1
28388,4.5,"2013-03-16 08:25:07 UTC",-73.934138,40.797852,-73.937098,40.804402,1
65266,13,"2013-03-17 04:39:00 UTC",-73.981687,40.728728,-73.94813,40.709848,1
20617,6.5,"2013-03-03 16:37:00 UTC",-73.985905,40.74625,-74.00306,40.748922,1
13988,11.5,"2013-03-30 20:42:00 UTC",-74.00394,40.721695,-73.98843,40.722847,1
36961,15.5,"2013-03-08 02:29:47 UTC",-73.992931,40.728083,-73.980742,40.676131,1
24415,20,"2013-03-24 21:07:00 UTC",-73.980197,40.754147,-73.998537,40.686857,1
52856,7.5,"2013-03-02 00:06:50 UTC",-73.98806,40.732023,-73.973358,40.748139,1
50329,14,"2013-03-14 10:22:00 UTC",-73.963707,40.773695,-73.980557,40.749585,4
46759,36.8,"2013-03-01 15:06:00 UTC",-73.862722,40.768862,-73.972267,40.795672,5
24472,8,"2013-03-13 00:27:02 UTC",-73.99241,40.743958,-73.99067,40.761085,1
2762,6.5,"2013-03-02 20:17:00 UTC",-74.003957,40.747952,-73.990967,40.76576,1
5519,19.5,"2013-03-15 23:09:18 UTC",-73.978833,40.736317,-73.973008,40.68877,1
17979,14,"2013-03-16 16:09:54 UTC",-73.970787,40.760658,-73.958995,40.767297,1
5603,10,"2013-03-09 16:20:51 UTC",-73.979384,40.754442,-73.954337,40.783898,2
27690,7,"2013-03-23 18:45:00 UTC",-73.984332,40.75986,-73.991442,40.749037,1
6740,10.5,"2013-03-10 00:56:00 UTC",-74.000507,40.731512,-73.998752,40.755142,1
12810,5,"2013-03-20 08:01:00 UTC",-73.891187,40.747082,-73.888057,40.75519,1
60465,5,"2013-03-17 20:29:31 UTC",-73.988247,40.734624,-73.997936,40.740411,1
4486,8,"2013-03-27 21:46:00 UTC",-74.005022,40.723242,-73.994242,40.746297,6
27796,10.5,"2013-03-05 14:46:15 UTC",-73.98517,40.75393,-73.976505,40.77734,1
52756,8.5,"2013-03-23 18:47:31 UTC",-73.974138,40.75029,-73.989211,40.74056,2
69779,6.5,"2013-03-04 16:18:54 UTC",-73.969982,40.75666,-73.964982,40.759275,1
51415,11,"2013-03-12 20:48:00 UTC",-73.950812,40.786047,-73.976105,40.75129,1
34635,9,"2013-03-04 22:06:00 UTC",-73.985387,40.760292,-73.960985,40.769832,1
15625,6.5,"2013-03-24 00:30:00 UTC",-74.000467,40.74243,-74.004567,40.752192,1
66269,6,"2013-03-28 09:03:02 UTC",-73.960376,40.761372,-73.968442,40.755009,1
33135,17.5,"2013-03-30 16:27:00 UTC",-73.97316,40.678062,-73.954153,40.719287,5
41549,21.5,"2013-03-10 17:39:22 UTC",-73.956691,40.745957,-73.872796,40.774365,1
1190,16.5,"2013-03-12 03:17:00 UTC",-73.951705,40.714935,-73.99274,40.747927,5
25117,6.5,"2013-03-24 13:10:59 UTC",-73.986799,40.75612,-73.991404,40.74465,1
1675,10.5,"2013-03-20 09:38:00 UTC",-73.978053,40.788813,-73.982503,40.76224,1
14451,3,"2013-03-28 21:29:00 UTC",-74.014905,40.714052,-74.015467,40.711402,1
2133,11.5,"2013-03-02 13:08:00 UTC",-73.994335,40.732035,-73.995115,40.760102,1
60497,14.5,"2013-03-16 14:58:00 UTC",-73.931737,40.744862,-73.956672,40.716882,1
18515,17.5,"2013-03-05 09:54:24 UTC",-73.994393,40.750907,-73.956961,40.773945,1
65645,6,"2013-03-05 19:47:00 UTC",-73.981857,40.746157,-73.98476,40.75386,1
63941,4,"2013-03-05 19:09:33 UTC",-73.969831,40.797255,-73.96651,40.80427,1
19032,13,"2013-03-25 07:17:00 UTC",-73.981028,40.733447,-74.006292,40.706475,1
23150,9,"2013-03-23 01:20:11 UTC",-73.990658,40.736375,-73.984079,40.743217,1
24446,6.5,"2013-03-21 17:27:00 UTC",-73.967358,40.76287,-73.961168,40.771677,1
30804,8,"2013-03-16 23:36:40 UTC",-73.953981,40.77499,-73.974839,40.754518,1
6203,5.5,"2013-03-12 01:02:28 UTC",-73.954506,40.784211,-73.963844,40.771398,1
21957,12.5,"2013-03-04 07:05:00 UTC",-74.00291,40.723562,-73.97306,40.759315,1
61685,26,"2013-03-10 06:37:00 UTC",-73.965508,40.790455,-74.013975,40.702412,1
45443,11.5,"2013-03-09 13:26:00 UTC",-73.990452,40.761707,-73.973185,40.795112,6
45634,12,"2013-03-08 15:02:00 UTC",-73.96294,40.778307,-73.986975,40.74541,2
10750,5.5,"2013-03-25 19:44:00 UTC",-73.994512,40.740547,-73.988392,40.74912,2
62520,24.5,"2013-03-24 19:32:08 UTC",-73.862822,40.76906,-73.781827,40.778113,1
44988,5.5,"2013-03-09 16:20:04 UTC",-73.960415,40.769445,-73.962524,40.77829,1
8177,38.33,"2013-03-18 08:17:00 UTC",-73.981738,40.778322,-73.864045,40.767872,1
27793,5,"2013-03-06 07:33:52 UTC",-73.961236,40.769257,-73.971913,40.759064,1
25908,6.5,"2013-03-28 15:06:19 UTC",-73.968832,40.76444,-73.975365,40.753306,1
7413,3.5,"2013-03-02 15:29:00 UTC",-73.95015,40.782372,-73.957632,40.771012,1
18621,7.5,"2013-03-06 15:23:00 UTC",-73.959485,40.770997,-73.947555,40.771687,1
57790,14,"2013-03-22 20:18:07 UTC",-73.980494,40.753652,-74.009749,40.726603,1
59143,16,"2013-03-13 23:58:00 UTC",-73.958432,40.717185,-73.911402,40.694347,2
29656,13.5,"2013-03-03 22:20:28 UTC",-74.002072,40.726287,-73.964285,40.764806,1
25122,7,"2013-03-14 18:22:35 UTC",-73.974103,40.764987,-73.958389,40.781323,2
17187,11.5,"2013-03-17 18:04:12 UTC",-73.991867,40.75004,-73.979686,40.7463,1
47334,8,"2013-03-15 23:11:00 UTC",-74.012622,40.706745,-74.004975,40.723155,5
5664,8,"2013-03-31 11:12:00 UTC",-73.980345,40.765707,-73.978338,40.783175,1
48114,16,"2013-03-02 13:26:22 UTC",-74.004,40.738262,-73.965882,40.771283,1
25630,6.5,"2013-03-19 20:04:00 UTC",-73.990842,40.734362,-73.991787,40.745842,1
51378,4,"2013-03-15 18:06:00 UTC",-73.98118,40.738062,-73.986282,40.732995,1
39360,7,"2013-03-28 08:44:00 UTC",-73.999077,40.74466,-74.006417,40.724512,6
55671,3,"2013-03-26 11:53:29 UTC",-73.976735,40.751691,-73.979661,40.75284,1
56924,7.5,"2013-03-01 19:04:00 UTC",-73.973992,40.762747,-73.98738,40.744447,1
35595,20,"2013-03-03 19:20:56 UTC",-73.974004,40.755853,-73.962094,40.709892,2
57594,7,"2013-03-19 09:14:00 UTC",-73.98102,40.767702,-73.966187,40.765432,1
28181,9,"2013-03-01 22:03:24 UTC",-74.00959,40.723149,-73.98877,40.727634,2
44622,9,"2013-03-11 13:19:38 UTC",-73.960796,40.769621,-73.935585,40.795858,1
19449,18.5,"2013-03-15 17:36:47 UTC",-73.977068,40.779804,-73.998547,40.742208,1
12745,12,"2013-03-01 06:34:17 UTC",-73.989851,40.755838,-73.954267,40.76414,1
13192,16.5,"2013-03-27 20:16:00 UTC",-74.007347,40.711665,-73.984995,40.748372,1
55131,15.5,"2013-03-31 16:40:21 UTC",-73.997917,40.761752,-73.970884,40.761862,3
21023,16,"2013-03-12 15:50:43 UTC",-74.007233,40.706415,-73.973772,40.74396,1
62682,7,"2013-03-04 14:38:41 UTC",-73.996492,40.763435,-73.98399,40.756302,1
33698,5,"2013-03-15 20:36:43 UTC",-73.96213,40.779245,-73.957624,40.768437,2
41897,16.5,"2013-03-13 20:32:00 UTC",-73.945885,40.77355,-73.994068,40.735352,5
57908,14,"2013-03-31 00:54:00 UTC",-73.976975,40.726662,-73.985237,40.70312,1
16150,9.5,"2013-03-12 07:31:09 UTC",-73.959076,40.777419,-73.978895,40.765692,2
18893,3.5,"2013-03-27 21:12:00 UTC",-73.98766,40.755187,-73.991232,40.75021,1
14745,7,"2013-03-31 13:43:00 UTC",-74.017585,40.705102,-74.015455,40.71589,1
35316,21.5,"2013-03-22 23:02:51 UTC",-73.98443,40.724883,-73.981366,40.676005,1
45795,52,"2013-03-17 11:35:09 UTC",-73.933948,40.744029,-73.776296,40.645798,1
60302,5,"2013-03-07 06:21:00 UTC",-73.98953,40.748612,-73.983655,40.758415,1
55745,5,"2013-03-25 05:34:43 UTC",-73.989978,40.755973,-73.976797,40.757364,1
27028,12,"2013-03-16 23:39:46 UTC",-73.974717,40.756702,-73.969108,40.79092,1
19191,9.5,"2013-03-13 09:26:00 UTC",-73.980795,40.744592,-74.003,40.743972,2
32983,21.5,"2013-03-04 06:55:14 UTC",-74.015298,40.711813,-73.975226,40.754919,1
8652,33,"2013-03-19 15:33:00 UTC",-73.944787,40.834332,-73.989272,40.721767,2
17646,22,"2013-03-07 19:43:02 UTC",-74.010377,40.710198,-73.939791,40.682965,1
8818,5,"2013-03-29 12:51:44 UTC",-73.935184,40.800712,-73.940788,40.788617,1
68580,11.5,"2013-03-18 09:24:00 UTC",-73.978733,40.782755,-73.993427,40.755347,6
57539,19,"2013-03-01 15:59:00 UTC",-74.007097,40.74359,-73.96062,40.779962,2
1579,10.5,"2013-03-14 21:59:00 UTC",-73.972833,40.75431,-73.992263,40.759045,1
62318,2.5,"2013-03-09 20:47:51 UTC",-74.006217,40.718676,-74.00549,40.718371,1
47161,11.5,"2013-03-17 13:53:00 UTC",-73.995808,40.769248,-73.977833,40.777742,3
22614,6.5,"2013-03-23 16:01:00 UTC",-73.981887,40.76933,-73.979115,40.783567,1
39711,10.5,"2013-03-10 00:31:55 UTC",-73.993302,40.720315,-73.977075,40.728909,1
23395,23.5,"2013-03-25 04:26:00 UTC",-73.985412,40.72749,-73.944827,40.808647,1
21616,11.5,"2013-03-14 19:34:45 UTC",-74.009634,40.712836,-73.992679,40.743125,1
18413,12.5,"2013-03-03 01:10:00 UTC",-74.005065,40.720377,-73.979652,40.743845,1
2506,6.5,"2013-03-16 01:25:00 UTC",-73.99005,40.733112,-73.983433,40.726115,1
1698,11,"2013-03-26 07:06:00 UTC",-73.97825,40.766473,-74.001063,40.757252,1
21902,7,"2013-03-12 19:11:00 UTC",-73.951367,40.770177,-73.964445,40.75559,1
26960,5.5,"2013-03-20 05:56:00 UTC",-73.98853,40.748657,-73.98853,40.748657,1
2254,11.5,"2013-03-16 13:18:00 UTC",-73.968822,40.754377,-73.997938,40.72932,1
21422,9,"2013-03-16 09:07:00 UTC",-73.903618,40.741532,-73.936168,40.745137,1
32480,5.5,"2013-03-27 10:27:00 UTC",-73.969873,40.76546,-73.98132,40.773375,6
49918,13.5,"2013-03-29 02:54:26 UTC",-73.994764,40.760176,-73.955092,40.772545,1
49382,10,"2013-03-13 09:03:00 UTC",-73.983722,40.694547,-74.008572,40.719902,5
13279,7.5,"2013-03-14 23:03:19 UTC",-73.970385,40.754843,-73.990979,40.75578,1
15159,11.5,"2013-03-27 20:47:40 UTC",-73.989546,40.741718,-74.016032,40.711138,1
2186,6,"2013-03-24 12:49:19 UTC",-73.949884,40.78029,-73.951029,40.770547,1
619,7,"2013-03-13 23:21:00 UTC",-73.985195,40.742105,-74.00599,40.743615,1
40095,8.5,"2013-03-15 16:47:47 UTC",-73.97722,40.753587,-73.990775,40.751787,2
15919,13,"2013-03-23 19:35:02 UTC",-73.98852,40.778633,-73.970493,40.755765,3
59311,13,"2013-03-09 17:12:05 UTC",-74.014351,40.716057,-74.007388,40.741167,1
36194,6,"2013-03-25 13:18:00 UTC",-73.955625,40.764172,-73.97062,40.767822,1
53643,12.5,"2013-03-06 18:51:00 UTC",-73.960167,40.773222,-73.981887,40.78573,1
26920,7.5,"2013-03-22 01:21:39 UTC",-73.99274,40.737154,-73.99619,40.753292,1
49408,13,"2013-03-23 20:58:15 UTC",-74.002707,40.733959,-73.985106,40.768582,2
9794,7.5,"2013-03-10 05:51:00 UTC",-73.979068,40.74433,-73.975945,40.73068,3
29233,12.5,"2013-03-10 19:19:00 UTC",-73.979323,40.723457,-73.97694,40.754072,1
60694,5.5,"2013-03-29 11:29:05 UTC",-73.972483,40.749937,-73.961302,40.761052,2
43774,36.83,"2013-03-06 12:52:12 UTC",-73.872777,40.774025,-73.972723,40.755875,2
67292,17.5,"2013-03-30 11:38:30 UTC",-73.951566,40.773695,-73.986608,40.721443,1
60170,13.5,"2013-03-10 20:36:19 UTC",-73.967995,40.762307,-73.915735,40.757401,1
13516,6.5,"2013-03-26 09:02:00 UTC",-73.97792,40.763457,-73.972055,40.754567,1
43572,4.5,"2013-03-12 22:13:38 UTC",-73.98584,40.757481,-73.993504,40.752353,1
69667,6,"2013-03-21 19:32:00 UTC",-73.988273,40.737567,-73.98086,40.747942,5
48182,14.5,"2013-03-14 22:58:47 UTC",-73.980647,40.754305,-73.987165,40.714448,1
9797,18,"2013-03-22 11:46:00 UTC",-73.974875,40.750272,-73.945117,40.808072,5
67833,8.5,"2013-03-02 18:14:50 UTC",-73.986582,40.753471,-74.001033,40.729334,3
4504,7,"2013-03-09 01:43:00 UTC",-73.996145,40.74347,-73.987702,40.760247,1
67399,14,"2013-03-08 18:48:00 UTC",-73.978322,40.752425,-73.987482,40.737507,5
63764,7,"2013-03-09 22:05:12 UTC",-73.986135,40.740667,-74.003196,40.747262,1
64261,7.5,"2013-03-29 20:13:00 UTC",-73.991298,40.744815,-73.994125,40.728372,1
69746,19,"2013-03-05 17:31:00 UTC",-74.00889,40.703875,-73.971532,40.7602,3
48184,11,"2013-03-30 16:13:00 UTC",-73.98721,40.75595,-73.960942,40.769402,1
6168,7,"2013-03-27 08:06:15 UTC",-73.983932,40.775623,-73.973001,40.762334,1
66320,5.5,"2013-03-25 08:53:00 UTC",-73.990672,40.746015,-73.999265,40.752117,1
51736,8.5,"2013-03-27 13:51:00 UTC",-73.988482,40.723042,-74.00063,40.71859,1
46844,8.5,"2013-03-07 09:48:59 UTC",-73.989441,40.756085,-73.978914,40.759549,1
12376,4,"2013-03-20 22:45:16 UTC",-73.998459,40.745309,-73.996034,40.753331,1
43474,6.5,"2013-03-14 23:30:00 UTC",-73.98207,40.75822,-73.981372,40.77074,6
58394,7.5,"2013-03-04 22:03:00 UTC",-73.966197,40.805012,-73.978117,40.786365,1
44293,17,"2013-03-10 04:21:00 UTC",-74.009745,40.705545,-73.944117,40.702312,1
67641,6,"2013-03-22 22:06:18 UTC",-73.962747,40.799327,-73.946459,40.797706,1
15855,8,"2013-03-30 23:06:49 UTC",-73.963798,40.756886,-73.981282,40.766127,1
2170,8,"2013-03-18 10:11:47 UTC",-74.00825,40.74884,-74.00529,40.729317,1
20027,5.5,"2013-03-03 12:15:00 UTC",-74.007152,40.718375,-74.007647,40.731747,1
30335,38.83,"2013-03-06 10:34:00 UTC",-73.981742,40.763662,-73.87077,40.772145,1
19944,15,"2013-03-30 20:04:56 UTC",-73.916554,40.743117,-73.963074,40.776684,1
9516,6.5,"2013-03-10 14:41:00 UTC",-73.975077,40.76193,-73.982098,40.77274,6
64542,11.5,"2013-03-12 10:37:44 UTC",-73.95132,40.782448,-73.968609,40.757567,1
24072,6,"2013-03-31 18:52:00 UTC",-73.981378,40.747197,-73.996577,40.753642,2
12616,4.5,"2013-03-22 18:58:00 UTC",-73.97047,40.753157,-73.974847,40.746415,1
23505,20,"2013-03-24 21:42:03 UTC",-73.989512,40.735813,-73.916064,40.764367,2
778,13.5,"2013-03-16 02:55:00 UTC",-73.985802,40.7441,-74.010055,40.704905,6
4460,11.5,"2013-03-30 02:32:00 UTC",-73.98887,40.727065,-73.954307,40.707277,1
31841,23,"2013-03-02 22:48:00 UTC",-73.923867,40.768082,-73.98899,40.726807,1
23907,11.5,"2013-03-03 20:20:37 UTC",-73.995915,40.750818,-73.992263,40.730965,2
14795,5.5,"2013-03-02 01:36:27 UTC",-73.997537,40.721052,-73.988463,40.723266,1
10930,34.5,"2013-03-20 17:33:06 UTC",-74.004167,40.707473,-73.861506,40.76823,1
5510,7,"2013-03-26 17:52:52 UTC",-73.981965,40.758449,-73.98711,40.755051,1
60111,9.5,"2013-03-23 02:05:50 UTC",-73.936759,40.820644,-73.896262,40.816196,1
27095,13,"2013-03-01 18:44:12 UTC",-73.971524,40.760205,-73.992534,40.725312,1
12684,11.5,"2013-03-12 14:01:00 UTC",-73.975228,40.752252,-73.983767,40.755145,1
3860,9,"2013-03-23 22:10:20 UTC",-73.963805,40.774381,-73.970683,40.795733,2
51892,5.5,"2013-03-01 22:26:32 UTC",-73.96356,40.802187,-73.959712,40.813392,1
65357,11.5,"2013-03-24 23:48:08 UTC",-73.995506,40.716144,-73.973752,40.687815,1
28306,6.5,"2013-03-24 10:40:11 UTC",-73.993961,40.75139,-73.988296,40.761632,2
54443,8.5,"2013-03-13 17:45:32 UTC",-73.985205,40.759138,-73.96903,40.757552,1
42516,11,"2013-03-28 22:26:30 UTC",-73.981774,40.772905,-74.00625,40.743827,2
33775,6.5,"2013-03-24 18:08:20 UTC",-73.994682,40.745696,-73.99388,40.761805,1
55222,5,"2013-03-23 15:03:00 UTC",-73.967752,40.762715,-73.974923,40.763157,1
61076,23,"2013-03-16 14:50:00 UTC",-73.86365,40.76893,-73.77395,40.73681,5
10625,9,"2013-03-05 15:09:23 UTC",-73.98643,40.762473,-73.969455,40.763683,1
18144,7,"2013-03-18 23:40:09 UTC",-73.984691,40.768367,-73.966647,40.75753,1
34101,9.5,"2013-03-02 16:39:08 UTC",-73.959711,40.774499,-73.979321,40.746656,2
1480,29,"2013-03-08 09:15:00 UTC",-73.944337,40.787962,-74.000925,40.71474,1
41395,7,"2013-03-16 03:32:00 UTC",-73.988177,40.742837,-73.988897,40.72612,5
56698,4,"2013-03-22 00:51:24 UTC",-73.9538,40.707097,-73.957154,40.712347,3
59998,5,"2013-03-18 14:33:49 UTC",-73.965858,40.795553,-73.956707,40.802566,1
22760,25,"2013-03-02 02:07:03 UTC",-73.993402,40.721711,-73.952534,40.686744,1
62612,10,"2013-03-30 20:24:01 UTC",-73.955392,40.776924,-73.983254,40.775631,1
59041,6,"2013-03-02 17:36:00 UTC",-73.960907,40.76732,-73.97391,40.762985,2
49113,8.5,"2013-03-15 21:20:40 UTC",-73.978556,40.74505,-73.998459,40.75584,1
46222,16,"2013-03-31 12:39:14 UTC",-74.01029,40.719795,-73.995209,40.760218,1
33771,5.5,"2013-03-19 21:01:00 UTC",-73.975252,40.750942,-73.983028,40.757207,1
69979,7.5,"2013-03-07 10:34:00 UTC",-73.983315,40.751172,-73.982417,40.757342,6
56332,12.5,"2013-03-20 08:55:00 UTC",-73.9529,40.785951,-73.976721,40.758884,1
48979,9,"2013-03-04 13:42:55 UTC",-74.007584,40.740872,-73.985087,40.739462,1
23700,6.5,"2013-03-16 10:10:00 UTC",-73.985658,40.747672,-74.00097,40.729312,1
9310,5.5,"2013-03-01 11:34:00 UTC",-73.98986,40.746882,-73.98144,40.758477,1
27776,37.94,"2013-03-21 03:06:19 UTC",-73.984637,40.759571,-73.905892,40.909176,1
52014,4.5,"2013-03-03 03:03:00 UTC",-73.950347,40.779592,-73.957713,40.770027,5
9359,13,"2013-03-28 09:43:27 UTC",-74.016887,40.709087,-73.994735,40.750298,1
8666,6,"2013-03-23 09:42:18 UTC",-73.970347,40.764954,-73.960269,40.773795,1
36535,11,"2013-03-16 08:00:00 UTC",-73.969075,40.798597,-73.968047,40.769705,1
39104,12,"2013-03-23 23:49:53 UTC",-74.016202,40.711143,-73.992094,40.725247,2
12396,3,"2013-03-20 17:02:40 UTC",-73.992446,40.72421,-73.994833,40.725026,1
53955,12,"2013-03-24 23:53:15 UTC",-73.989015,40.718873,-73.988595,40.688498,1
17920,4.5,"2013-03-08 00:16:00 UTC",-73.981025,40.76327,-73.970887,40.758155,3
13900,21.5,"2013-03-10 05:59:00 UTC",-73.988707,40.74842,-73.89213,40.746967,5
2636,9.5,"2013-03-26 19:04:27 UTC",-73.972794,40.752661,-73.982029,40.765951,4
23816,21,"2013-03-26 20:50:07 UTC",-73.994463,40.750156,-73.962428,40.719689,1
13743,6,"2013-03-13 20:39:00 UTC",-73.987297,40.737385,-73.99678,40.73167,1
43536,12.5,"2013-03-29 17:50:24 UTC",-73.972742,40.780853,-73.975197,40.761822,1
62956,6,"2013-03-17 18:19:00 UTC",-74.001885,40.735187,-73.99683,40.747147,1
11373,10,"2013-03-05 09:01:28 UTC",-73.98645,40.766969,-73.974373,40.750708,1
5994,7.5,"2013-03-30 22:04:00 UTC",-73.958572,40.715052,-73.958577,40.697152,1
23390,10.5,"2013-03-15 10:50:00 UTC",-73.99096,40.7448,-73.96914,40.759772,1
33608,4,"2013-03-05 21:08:29 UTC",-73.97963,40.781304,-73.972689,40.786675,1
51303,8,"2013-03-11 16:26:17 UTC",-73.994089,40.751221,-73.989215,40.769427,2
52461,7,"2013-03-02 02:02:00 UTC",-73.98898,40.743967,-73.988965,40.758842,1
2457,14.5,"2013-03-10 06:31:00 UTC",-73.971593,40.797307,-73.942618,40.841477,1
36338,6.5,"2013-03-30 09:05:00 UTC",-73.9718,40.794412,-73.962525,40.809582,6
4253,6.5,"2013-03-10 10:00:18 UTC",-73.980082,40.748526,-73.966841,40.76184,1
33132,5,"2013-03-07 14:15:02 UTC",-73.960456,40.770207,-73.967799,40.762607,1
61311,10,"2013-03-07 23:55:00 UTC",-74.002435,40.716247,-74.008277,40.730087,1
8201,34.83,"2013-03-08 16:07:44 UTC",-73.952542,40.792376,-73.864258,40.769907,2
45019,35,"2013-03-15 21:15:02 UTC",-73.989676,40.767543,-73.949064,40.710645,1
32973,16,"2013-03-28 07:07:00 UTC",-73.984995,40.696912,-73.983528,40.755885,1
62165,7.5,"2013-03-31 09:58:00 UTC",-73.961098,40.806847,-73.975338,40.785248,1
23680,16,"2013-03-31 17:41:00 UTC",-74.008622,40.720645,-73.994907,40.750392,1
30223,9,"2013-03-09 21:31:00 UTC",-73.997832,40.735232,-74.012812,40.717475,2
15626,3,"2013-03-20 19:02:35 UTC",-73.974714,40.742071,-73.974653,40.74203,1
38748,11,"2013-03-29 20:15:00 UTC",-73.996383,40.7445,-73.978928,40.724017,1
15231,22.5,"2013-03-23 02:03:00 UTC",-73.987985,40.745887,-73.944952,40.707492,5
38586,7.5,"2013-03-30 23:25:39 UTC",-73.985469,40.768791,-73.992524,40.758409,4
63235,5.5,"2013-03-01 12:44:11 UTC",-73.967843,40.80249,-73.973798,40.791587,1
40023,5,"2013-03-08 20:02:17 UTC",-73.981419,40.747311,-73.988091,40.739216,1
68249,5,"2013-03-04 16:57:00 UTC",-73.963085,40.77476,-73.954752,40.783415,1
38208,6.5,"2013-03-08 07:22:40 UTC",-73.972973,40.74888,-73.988256,40.737709,1
37373,36,"2013-03-02 13:05:00 UTC",-73.987438,40.771225,-73.864872,40.770458,1
19291,8.5,"2013-03-30 00:18:00 UTC",-73.993818,40.735442,-74.00423,40.721187,1
